==============================================================================
==============================================================================
Thu. Oct. 20 2016                  LANDSAT 5                       Time: 21:21
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610196671_01358                          Path / Row - 231 / 62
Reference Image: L51CUB1009253130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2310621142   -2.36311    -61.17077    -0.10     -0.10     0.14     1 
2310621143   -2.36307    -61.14272    -0.09     -0.13     0.16     1 
2310621144   -2.36303    -61.11468    -0.05     -0.13     0.14     1 
2310621145   -2.36300    -61.08663    -0.03     -0.25     0.25     1 
2310621146   -2.36296    -61.05858     0.11     -0.31     0.33     1 
2310621147   -2.36292    -61.03054     0.05     -0.28     0.28     1 
2310621148   -2.36288    -61.00249     0.21     -0.25     0.32     1 
2310621149   -2.36284    -60.97445    -0.01     -0.24     0.24     1 
2310621150   -2.36279    -60.94640    -0.10     -0.08     0.13     1 
2310621151   -2.36275    -60.91836    -0.16     -0.12     0.20     1 
2310621152   -2.36271    -60.89032    -0.11     -0.07     0.13     1 
2310621153   -2.36267    -60.86227    -0.12     -0.07     0.14     1 
2310621154   -2.36262    -60.83423     0.03     -0.09     0.10     1 
2310621155   -2.36258    -60.80619     0.07     -0.15     0.17     1 
2310621156   -2.36253    -60.77815    -0.12     -0.04     0.12     1 
2310621157   -2.36249    -60.75011    -0.04      0.02     0.05     1 
2310621158   -2.36244    -60.72207     0.00     -0.16     0.16     1 
2310621159   -2.36240    -60.69403     0.02     -0.16     0.16     1 
2310621160   -2.36235    -60.66599    -0.21     -0.03     0.21     1 
2310621161   -2.36230    -60.63795    -0.07     -0.03     0.08     1 
2310621162   -2.36225    -60.60991    -0.05     -0.06     0.08     1 
2310621163   -2.36220    -60.58187     0.08     -0.03     0.08     1 
2310621164   -2.36215    -60.55384     0.02     -0.04     0.04     1 
2310621165   -2.36211    -60.52580     0.06     -0.07     0.10     1 
2310621170   -2.36185    -60.38563    -0.03     -0.01     0.03     1 
2310621171   -2.36179    -60.35760    -0.07     -0.05     0.09     1 
2310621172   -2.36174    -60.32956    -0.05     -0.02     0.06     1 
2310621173   -2.36169    -60.30153     0.05     -0.07     0.08     1 
2310621176   -2.36152    -60.21744    -0.02     -0.06     0.06     1 
2310621185   -2.36099    -59.96521     0.04      0.01     0.04     1 
2310621186   -2.36092    -59.93719     0.04      0.03     0.05     1 
2310621187   -2.36086    -59.90916    -0.14      0.04     0.15     1 
2310621188   -2.36080    -59.88114     0.05      0.08     0.09     1 
2310621192   -2.36054    -59.76907     0.17      0.06     0.18     1 
2310621215   -2.38814    -61.22684     0.00     -0.09     0.09     1 
2310621217   -2.38807    -61.17074    -0.12     -0.13     0.18     1 
2310621218   -2.38803    -61.14269    -0.03     -0.14     0.15     1 
2310621219   -2.38799    -61.11464    -0.27      0.02     0.27     1 
2310621220   -2.38795    -61.08660     0.11     -0.07     0.13     1 
2310621221   -2.38791    -61.05855     0.09     -0.08     0.13     1 
2310621223   -2.38783    -61.00246     0.01     -0.26     0.26     1 
2310621224   -2.38779    -60.97441     0.06     -0.08     0.10     1 
2310621225   -2.38775    -60.94637    -0.13     -0.11     0.17     1 
2310621226   -2.38771    -60.91832    -0.22     -0.13     0.26     1 
2310621227   -2.38766    -60.89028    -0.11     -0.13     0.17     1 
2310621228   -2.38762    -60.86223    -0.07     -0.09     0.11     1 
2310621229   -2.38758    -60.83419    -0.20     -0.09     0.22     1 
2310621230   -2.38753    -60.80615    -0.02     -0.09     0.09     1 
2310621231   -2.38748    -60.77811     0.28      0.10     0.30     1 
2310621232   -2.38744    -60.75007     0.04     -0.09     0.10     1 
2310621233   -2.38739    -60.72203     0.04     -0.16     0.16     1 
2310621234   -2.38734    -60.69398    -0.14      0.02     0.14     1 
2310621235   -2.38730    -60.66595    -0.12      0.05     0.13     1 
2310621236   -2.38725    -60.63791    -0.04      0.02     0.05     1 
2310621237   -2.38720    -60.60987     0.02     -0.04     0.05     1 
2310621238   -2.38715    -60.58183     0.02     -0.01     0.02     1 
2310621239   -2.38710    -60.55379     0.08     -0.00     0.08     1 
2310621240   -2.38705    -60.52575    -0.07     -0.09     0.12     1 
2310621246   -2.38674    -60.35755     0.02     -0.07     0.08     1 
2310621247   -2.38668    -60.32952     0.08      0.06     0.10     1 
2310621249   -2.38657    -60.27345    -0.05     -0.04     0.06     1 
2310621250   -2.38652    -60.24542     0.07     -0.24     0.25     1 
2310621261   -2.38586    -59.93713    -0.14     -0.04     0.15     1 
2310621262   -2.38580    -59.90911    -0.09     -0.07     0.12     1 
2310621263   -2.38573    -59.88109    -0.06      0.00     0.06     1 
2310621264   -2.38567    -59.85307    -0.02     -0.02     0.03     1 
2310621265   -2.38560    -59.82505    -0.00      0.07     0.07     1 
2310621266   -2.38554    -59.79703     0.03      0.07     0.07     1 
2310621267   -2.38547    -59.76901    -0.09      0.10     0.13     1 
2310621288   -2.41317    -61.28290     0.08     -0.21     0.22     1 
2310621290   -2.41310    -61.22680    -0.04     -0.18     0.18     1 
2310621291   -2.41306    -61.19875    -0.00     -0.21     0.21     1 
2310621292   -2.41302    -61.17071    -0.24     -0.13     0.27     1 
2310621293   -2.41299    -61.14266    -0.12     -0.23     0.26     1 
2310621294   -2.41295    -61.11461     0.07     -0.08     0.11     1 
2310621295   -2.41291    -61.08656     0.03     -0.26     0.27     1 
2310621296   -2.41287    -61.05851    -0.06     -0.18     0.19     1 
2310621297   -2.41283    -61.03047    -0.09     -0.23     0.25     1 
2310621298   -2.41279    -61.00242     0.09     -0.02     0.09     1 
2310621299   -2.41274    -60.97438     0.02     -0.11     0.11     1 
2310621300   -2.41270    -60.94633    -0.02     -0.07     0.08     1 
2310621301   -2.41266    -60.91828    -0.05     -0.04     0.06     1 
2310621302   -2.41262    -60.89024     0.00     -0.11     0.11     1 
2310621303   -2.41257    -60.86220     0.01     -0.04     0.04     1 
2310621304   -2.41253    -60.83415    -0.18     -0.02     0.19     1 
2310621305   -2.41248    -60.80611     0.04     -0.05     0.06     1 
2310621306   -2.41244    -60.77807     0.00     -0.08     0.08     1 
2310621308   -2.41234    -60.72198    -0.12     -0.10     0.15     1 
2310621309   -2.41229    -60.69394    -0.14     -0.02     0.15     1 
2310621310   -2.41225    -60.66590    -0.12     -0.01     0.12     1 
2310621311   -2.41220    -60.63786    -0.01     -0.07     0.07     1 
2310621312   -2.41215    -60.60982     0.07      0.02     0.07     1 
2310621313   -2.41210    -60.58179    -0.05      0.04     0.06     1 
2310621314   -2.41205    -60.55375     0.04      0.06     0.07     1 
2310621315   -2.41200    -60.52571     0.05      0.03     0.06     1 
2310621316   -2.41195    -60.49767     0.04      0.06     0.07     1 
2310621322   -2.41162    -60.32947     0.05     -0.05     0.08     1 
2310621323   -2.41157    -60.30143     0.03     -0.04     0.05     1 
2310621324   -2.41151    -60.27340    -0.05     -0.06     0.08     1 
2310621326   -2.41140    -60.21734    -0.03      0.01     0.04     1 
2310621329   -2.41122    -60.13325     0.01     -0.01     0.02     1 
2310621330   -2.41116    -60.10523     0.08     -0.13     0.15     1 
2310621331   -2.41110    -60.07720     0.10      0.08     0.13     1 
2310621336   -2.41079    -59.93708    -0.01      0.07     0.07     1 
2310621337   -2.41073    -59.90905    -0.01      0.07     0.07     1 
2310621338   -2.41066    -59.88103     0.05      0.06     0.07     1 
2310621339   -2.41060    -59.85301    -0.09      0.04     0.10     1 
2310621340   -2.41053    -59.82499    -0.03      0.02     0.04     1 
2310621341   -2.41047    -59.79697    -0.00      0.00     0.01     1 
2310621344   -2.41027    -59.71292     0.02      0.07     0.07     1 
2310621367   -2.43798    -61.17067    -0.08     -0.15     0.17     1 
2310621368   -2.43794    -61.14262    -0.03     -0.09     0.09     1 
2310621369   -2.43790    -61.11457    -0.17     -0.17     0.24     1 
2310621370   -2.43786    -61.08653     0.14     -0.16     0.22     1 
2310621371   -2.43782    -61.05848     0.05     -0.26     0.27     1 
2310621372   -2.43778    -61.03043     0.07     -0.22     0.23     1 
2310621373   -2.43774    -61.00238     0.01     -0.19     0.19     1 
2310621374   -2.43770    -60.97434     0.00     -0.12     0.12     1 
2310621375   -2.43766    -60.94629     0.02     -0.21     0.21     1 
2310621376   -2.43761    -60.91825    -0.01     -0.21     0.21     1 
2310621377   -2.43757    -60.89020     0.05     -0.16     0.17     1 
2310621378   -2.43752    -60.86216     0.00     -0.02     0.02     1 
2310621379   -2.43748    -60.83411    -0.12      0.02     0.12     1 
2310621380   -2.43743    -60.80607    -0.13      0.03     0.13     1 
2310621381   -2.43739    -60.77803     0.08     -0.00     0.08     1 
2310621382   -2.43734    -60.74998     0.05     -0.12     0.13     1 
2310621383   -2.43729    -60.72194    -0.03      0.08     0.08     1 
2310621384   -2.43724    -60.69390    -0.06     -0.02     0.06     1 
2310621385   -2.43720    -60.66586    -0.01      0.01     0.01     1 
2310621386   -2.43715    -60.63782     0.02     -0.03     0.03     1 
2310621387   -2.43710    -60.60978     0.00     -0.01     0.01     1 
2310621388   -2.43705    -60.58174    -0.04     -0.06     0.07     1 
2310621389   -2.43700    -60.55370    -0.02     -0.04     0.05     1 
2310621390   -2.43695    -60.52567     0.11     -0.01     0.11     1 
2310621391   -2.43689    -60.49763     0.00     -0.08     0.08     1 
2310621392   -2.43684    -60.46959     0.06      0.08     0.10     1 
