Thu. Oct. 20, 2016             LANDSAT 5                 Time: 16:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20592208            Path/Row: 231 / 062

L0R Reference Image: L51CUB1009253130101_HDF.162941603
Acquisition Date: Sep 10, 2009

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
231   062   08-11-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2310620157_01   -3.259197  -60.154089    21.490      -0.853    -1.398    -0.641    -1.508
2310620158_01   -2.708390  -59.735060    54.353       5.152    -6.652     6.072    -5.840
2310620159_01   -2.638394  -59.912826    91.357       4.066     2.417     3.676     2.985
2310620160_01   -3.520342  -60.570740     4.282      -2.075    -2.076    -1.751    -2.357
2310620161_01   -3.100938  -60.073088     5.258      -5.583    -3.877    -4.963    -4.653
2310620162_01   -3.167502  -61.057545    -0.980      -1.427    -5.431    -0.621    -5.582
2310620163_01   -3.207492  -60.179314    22.013      -2.091    -0.832    -1.949    -1.128
2310620164_01   -3.531272  -60.602556     8.312      -0.353     0.610    -0.438     0.553
2310620165_01   -3.674621  -60.197367    12.740       3.476    -4.589     4.112    -4.036
2310620166_01   -2.911600  -59.822897    37.201       2.815     6.418     1.853     6.767
2310620167_01   -2.777989  -60.134584    88.641      -5.128     2.520    -5.444     1.749
2310620168_01   -2.909919  -60.209751    25.749      -3.238     1.174    -3.377     0.691
2310620169_01   -3.081721  -59.892768    29.300      -2.661     4.099    -3.233     3.672
2310620170_01   -3.042671  -59.884523    31.759      -2.172    -1.209    -1.974    -1.514
2310620171_01   -3.071656  -61.157562    11.985       1.000     0.060     0.980     0.205
2310620173_01   -3.070201  -59.845894     5.128      -3.123    -0.220    -3.061    -0.673
2310620174_01   -3.461928  -60.328048     7.491      -1.845    -1.386    -1.624    -1.642
2310620176_01   -2.735590  -59.874581    56.950      -2.475     2.551    -2.822     2.167
2310620177_01   -3.186250  -60.345783    13.986      -1.638     2.340    -1.963     2.078
2310620178_01   -2.970518  -60.617367    11.110      -1.831     4.757    -2.505     4.442
2310620179_01   -2.829817  -60.048461    29.861       0.146     1.369    -0.054     1.377
2310620180_01   -3.189341  -60.183409    29.284       0.003    -1.255     0.186    -1.243
2310620181_01   -2.992557  -60.411528     7.927      -2.639     0.477    -2.682     0.088
2310620182_01   -3.427317  -60.460888    14.651       0.583     1.388     0.374     1.459
2310620183_01   -3.146051  -61.045981     0.331       1.388    -2.752     1.774    -2.521
2310620186_01   -3.159573  -59.916535    -2.444      -0.563    -2.745    -0.157    -2.801
2310620187_01   -3.628431  -60.250935    10.587       2.184     0.919     2.029     1.229
2310620188_01   -2.776232  -60.081482    11.891      -0.766    -2.085    -0.455    -2.176
2310620190_01   -3.051446  -60.114207     7.916       3.407     1.195     3.200     1.680
2310620191_01   -3.254084  -60.818285     8.223      -2.289     0.069    -2.276    -0.266
2310620192_01   -3.285572  -61.095645     6.785       1.791     0.521     1.696     0.776
2310620193_01   -2.764196  -60.037574    29.212      -0.271    -0.536    -0.190    -0.571
2310620194_01   -2.585834  -60.033151    50.474       0.452     0.534     0.370     0.595
2310620196_01   -3.282160  -60.530597    11.981       0.365    -0.476     0.431    -0.418
2310620197_01   -2.806939  -59.902155    45.582       3.473    -3.578     3.961    -3.038
2310620199_01   -3.520872  -60.273380     1.906       1.532    -1.866     1.790    -1.624
2310620201_01   -3.015572  -59.980574    71.966      -0.048    -1.892     0.228    -1.880
2310620202_01   -3.716346  -60.276573     9.983       1.898     0.008     1.878     0.285
2310620203_01   -3.091474  -60.504348     8.552       3.007     6.107     2.087     6.483
2310620204_01   -3.265869  -60.751610     3.003      -3.160     2.777    -3.533     2.288
2310620205_01   -3.573007  -60.301558     4.361      -1.526     0.861    -1.636     0.630
2310620206_01   -2.554886  -60.662686    13.025       2.127    -3.025     2.545    -2.685
2310620207_01   -3.473716  -60.278912     3.225      -1.249     0.776    -1.350     0.587
2310620208_01   -3.210338  -60.036107     4.904      -0.885     2.113    -1.184     1.964
2310620211_01   -2.745681  -59.898811    46.329       0.723     1.274     0.531     1.367
2310620213_01   -2.659250  -60.941085    33.266      -0.571    -2.763    -0.164    -2.817
2310620214_01   -3.575446  -61.047016    11.941       4.592     4.326     3.912     4.951
2310620215_01   -3.275375  -60.881924     5.278      -3.394    -0.702    -3.257    -1.189
2310620216_01   -2.730653  -60.826333     7.329      -1.759    -0.580    -1.657    -0.830
2310620217_01   -2.755601  -59.757299    98.679       6.129    -4.894     6.783    -3.956
2310620218_01   -3.130767  -59.982407    25.352       0.447    -1.794     0.705    -1.712
2310620221_01   -3.378442  -59.966566     6.021      -0.534    -2.286    -0.195    -2.342
2310620222_01   -2.951868  -60.077532    22.266       1.773    -0.009     1.757     0.249
2310620223_01   -3.723660  -60.455213     3.225      -1.283     4.737    -1.962     4.501
2310620224_01   -2.803946  -60.001084    37.469      -4.731     1.135    -4.850     0.435
2310620227_01   -3.124705  -61.090815     9.764      -0.734    -1.820    -0.462    -1.908
2310620228_01   -3.500573  -60.478232    12.848      -2.905    -0.395    -2.817    -0.815
2310620229_01   -3.537743  -61.480698    15.308      -0.915    -2.547    -0.534    -2.653
2310620230_01   -3.346872  -59.924864     5.044       0.206    -3.112     0.659    -3.052
2310620231_01   -3.071137  -59.981767    25.130      -1.779    -3.335    -1.275    -3.562
2310620232_01   -3.059264  -60.000403    39.850       0.989    -1.422     1.187    -1.264
2310620233_01   -3.686203  -60.173586     3.544       2.669    -0.099     2.657     0.292
2310620234_01   -3.051543  -59.953513    26.666      -4.462     3.269    -4.895     2.587
2310620235_01   -3.118396  -60.537193     4.961       1.564     0.740     1.440     0.961
2310620236_01   -3.463662  -60.568187     2.193      -1.519     2.713    -1.899     2.464
2310620237_01   -3.302032  -61.193860    14.008       5.049     2.150     4.682     2.863
2310620239_01   -3.007424  -60.175801     8.653      -3.704    -3.427    -3.168    -3.933
2310620240_01   -3.219782  -60.639742    19.594       3.560    -1.931     3.805    -1.392
2310620241_01   -2.477210  -61.095640    12.760      -2.011    -2.127    -1.681    -2.397
2310620242_01   -3.237445  -60.775148    15.035       0.227    -1.138     0.391    -1.093
2310620244_01   -2.941033  -60.651415    19.760      -1.093     3.681    -1.618     3.485
2310620245_01   -3.430910  -61.356139    10.337      -3.229    -5.702    -2.364    -6.112
2310620246_01   -2.847288  -59.889918    32.449      -1.749     3.706    -2.271     3.416
2310620248_01   -3.297911  -61.024910     6.226      -0.812    -0.490    -0.732    -0.603
